OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
40304,stclr4793,spatjoin,Long Lake,44466,Long Lake,44-208,732083.1248,277751.5283,155404793,5/11/07,630933,Long Lake,4.09E+12,390,39004,4793,stclr
40305,stclr4797,spatjoin,,44584,no name,77-206,778876.545,276365.5575,155404797,5/11/07,,,4.09E+12,390,39004,4797,stclr
40307,stclr4799,spatjoin,,44604,no name,77-208,780550.775,276247.3796,155404799,5/11/07,,,4.09E+12,390,39004,4799,stclr
40308,prmqw20410,spatjoin,Little Black Lake,43465,Little Black Lake,61-9,479853.4265,285671.2538,82820410,5/1/03,630567,Little Black Lake,4.0601E+12,390,39004,20410,prmqw
40313,grand7480,spatjoin,Brower Lake,43473,Brower Lake,41-501,542107.0647,285811.931,152707480,2/28/07,622062,Brower Lake,4.05001E+12,390,39004,7480,grand
40314,grand7720,spatjoin,Dean Lake,44642,Dean Lake,41-209,531672.7243,275531.6345,152707720,2/28/07,624427,Dean Lake,4.05001E+12,390,39004,7720,grand
40315,grand7535,spatjoin,Mirror Lake,43739,Mirror Lake,41-341,528429.1932,283871.5255,152707535,2/28/07,,,4.05001E+12,390,39004,7535,grand
40317,grand7549,spatjoin,Steele Lake,43786,Steele Lake,41-287,547572.8993,283346.456,152707549,2/28/07,638778,Steele Lake,4.05001E+12,390,39004,7549,grand
40319,grand7515,spatjoin,Chapin Lake,43636,Chapin Lake,41-282,550676.8721,284759.6574,152707515,2/28/07,623093,Chapin Lake,4.05001E+12,390,39004,7515,grand
40320,grand7629,spatjoin,,44174,no name,34-104,571308.2909,280032.4273,152707629,2/28/07,,,4.05001E+12,390,39004,7629,grand
40324,grand7691,spatjoin,,44476,sewage disposal pond,70-195,505953.9254,277569.0592,152707691,2/27/07,,,4.05001E+12,436,43612,7691,grand
40327,grand7693,spatjoin,Howard Lake,44477,Howard Lake,41-312,550431.8953,277576.0507,152707693,2/28/07,628697,Howard Lake,4.05001E+12,390,39004,7693,grand
40328,grand7475,spatjoin,Little Brower Lake,43431,Little Brower Lake,41-504,541742.1915,286496.7426,152707475,2/28/07,630579,Little Brower Lake,4.05001E+12,390,39004,7475,grand
40332,grand7573,spatjoin,Whitten Lake,43934,Whitten Lake,41-288,547787.2271,282111.447,152707573,2/28/07,1616404,Whitten Lake,4.05001E+12,390,39004,7573,grand
40339,grand7724,spatjoin,Dunlop Lake,44653,Dunlop Lake,41-380,533876.8001,275928.4777,152707724,2/28/07,625000,Dunlop Lake,4.05001E+12,390,39004,7724,grand
